1, dry1d/rsync, 346 
2, pascosoftware/education_xenial, 25 
3, dawidopteam13/cas, 162 
4, ricktankard/bio-str-exstra, 142 
5, canopyccfdocker/azure-bosh2-cf, 90 
6, sokkanen/feedback, 309 
7, ovatsia/sdxmenuv2, 59 
8, goos7/rss-page, 428 
9, altermeister/bio-ontology-ontology-tutorial-docker, 68 
10, enjoei/ruby-ci-2.5.1-alpine3.7, 28 
11, chavon/binco-app, 2 
12, misenko/bio-class-gaa, 25 
13, biocontainers/bio-tradis, 36 
14, biocontainers/bio-rainbow, 36 
15, kaikousa/hello, 112 
16, enjoei/ruby-2.4.2, 28 
17, jgredecka/bio782p, 35 
18, enjoei/ruby-2.5.1, 28 
19, enjoyithub/enjoy_oa_api, 18 
20, rturner92/bio782p, 35 
21, misenko/bio-class-age, 25 
22, resolwe/bio-linux8-resolwe-preview, 118 
23, resolwe/bio-linux8-resolwe, 118 
24, enjoyithub/enjoy_identityserver, 268 
25, mayconfsbrito/bio-php-fpm-prod, 41 
26, starz/esp-rtos, 283 
27, mayconfsbrito/bio-php-fpm-dev, 41 
28, fridamsh/get-started, 1 
29, icra2018/bio-ik, 281 
30, enjoythestream/mysql, 221 
31, lucj/alpine-curl, 360 
32, fgoebels/bio-epic, 52 
33, lucj/curl, 360 
34, lucj/kernelci-log, 422 
35, lucjohnson/catnip, 471 
36, fridapolished/node, 74 
37, vijayshilekar/bio-hrms, 407 
38, enjoei/ruby, 28 
39, jawhhcib/bio-ontology-tut.v0.1, 68 
40, enjoythestream/store_gitlab, 7 
41, fridel/java, 181 
42, dgirish/bio-notebook, 104 
43, lucj/sophia.events, 12 
44, lucj/jq, 339 
45, moinfar/bio-py-base, 378 
46, enjeyw/sempo-circleci-prebuild, 332 
47, lucj/iot-collector, 353 
48, moinfar/bio-deep-python, 338 
49, kr7ysztof/keycloak-it, 67 
50, klyno/friday.horse, 384 
51, lucj/labs, 12 
52, bromberglab/bio-node-webserver, 472 
53, enjoythestream/logdata, 118 
54, enjoei/imgproxy-base, 174 
55, heliumdatacommons/bio-tools, 132 
56, onlybelter/bio-info, 25 
57, fridon/sentiment-analysis-frontend, 30 
58, fridewald/get-started, 1 
