fmfontana/nodonode, base64 ,  make -j "$(nproc)" PROFILE_TASK='-m test.regrtest --pgo test_array test_base64 test_binascii test_binhex test_binop test_bytes test_c_locale_coercion test_class test_cmath test_codecs test_compile test_complex test_csv test_decimal test_dict test_float test_fstring test_hashlib test_io test_iter test_json test_long test_math test_memoryview test_pickle test_re test_set test_slice test_struct test_threading test_time test_traceback test_unicode ' 
fmfontana/nodopython, base64 ,  make -j "$(nproc)" PROFILE_TASK='-m test.regrtest --pgo test_array test_base64 test_binascii test_binhex test_binop test_bytes test_c_locale_coercion test_class test_cmath test_codecs test_compile test_complex test_csv test_decimal test_dict test_float test_fstring test_hashlib test_io test_iter test_json test_long test_math test_memoryview test_pickle test_re test_set test_slice test_struct test_threading test_time test_traceback test_unicode '  make -j "$(nproc)" PROFILE_TASK='-m test.regrtest --pgo test_array test_base64 test_binascii test_binhex test_binop test_bytes test_c_locale_coercion test_class test_cmath test_codecs test_compile test_complex test_csv test_decimal test_dict test_float test_fstring test_hashlib test_io test_iter test_json test_long test_math test_memoryview test_pickle test_re test_set test_slice test_struct test_threading test_time test_traceback test_unicode ' 
filo/fmripreptest, base64 , echo "cHJpbnRmICJrcnp5c3p0b2YuZ29yZ29sZXdza2lAZ21haWwuY29tXG41MTcyXG4gKkN2dW12RVYzelRmZ1xuRlM1Si8yYzFhZ2c0RVxuIiA+IC9vcHQvZnJlZXN1cmZlci9saWNlbnNlLnR4dAo=" | base64 -d | sh
flatberg/quickmirseq, base64 , conda install -y bowtie cutadapt perl-compress-raw-zlib perl-config-simple perl-mime-base64 perl-parallel-forkmanager perl-xsloader r-reshape2 r-ggplot2 r-latticeExtra r-scales
foostan/fugelog-tester, base64 , echo $'ndata=`cat /dev/urandom | base64 | fold -w 76 | head -n $N`nwhile true ndon echo "{size: `echo $data|wc -c`, data: "`echo $data`"}"n sleep 10ndonen' >> script.sh
zfce/villadbay, base64 , echo "ZGF0ZS50aW1lem9uZSA9IEF1c3RyYWxpYS9CcmlzYmFuZQo=" | base64 --decode >> /usr/local/etc/php/conf.d/custom.ini 
eranelion/newman-python, base64 ,  make -j "$(nproc)" EXTRA_CFLAGS="-DTHREAD_STACK_SIZE=0x100000" PROFILE_TASK='-m test.regrtest --pgo test_array test_base64 test_binascii test_binhex test_binop test_bytes test_c_locale_coercion test_class test_cmath test_codecs test_compile test_complex test_csv test_decimal test_dict test_float test_fstring test_hashlib test_io test_iter test_json test_long test_math test_memoryview test_pickle test_re test_set test_slice test_struct test_threading test_time test_traceback test_unicode ' 
vpanov/openwrt-cc-mvebu, base64 ,  echo '/Td6WFoAAATm1rRGAgAhARYAAAB0L+Wj4AhiAwJdADQZSdvdrYxwLCqFjE4ev5x0AeRnRhG55ujGpSwDewAEv6OZHIYmkHHyS+OcSIueJvjGNjnh0miBcNX3YHy0k9RCYWZJq7aVxI7EB+WHBdc5TPJ3dUqJyBnOZ5HW6wxm7BDFiE5rXWdW9hDks3LSSir3s0/VdlxqBhu7zWJKySKiKYktDDkt5zPeKjNtTyKnJ3ZRUFjMeoFXC7vut8j8ayfjiJ3VWzgHYVFmJrvAzCefBhj3otn2dP7Z7XgrFiwjcsvWS7DsZU8TMT2IwxcESAchIWRaY+MhPQFsmb9X6oU2YRyM1ZlqvDtPgS2or8KNq+3PCz4ZWAZP3zMRHmsZ0U/2YZelTm3x2c76y86YgKYRUEvf/mnOaGl+X1ChjaqBXQpBnZM8A37CTWqEHOGj28tkXvdc5YsWSGGL0BLkTGBisc8j8CpzSK+wYY0x32yOqNPAyizwpkPobB70xjqjQljFttWFsf/ReHR7oSW2NRPZfSJFBA8J9PbBB1KQn6ZvBoCGO5GriAdfLS0vDQpfOXmYCKUaWNEDbA7kfnBJs7ByfMcRYIi6WydEJQ8GCpgf8Ys20MeSk64ZcbuvzLJ96LOM6lYpoUb/AXuGz0OSo4vLlPlxrZueAln8NxMlaBFQV32kBXX/OwC49s4jVUeHfZR26F4r+5XVN3P07M2DzUKCyFspW/hqsGmdDiIUZjrRAHsari+Sah85FrQk7EUI3SmmdnXIYsyXfBK1V8ig/z2ZwTO4/9liJqW7HKPzV7v8+WAu42TxpdaQe2ApMbCg1/UDu5J2PpyaDGqte1dJFmghb4yp5BDLr5+0a7e4jcCUtYSQQBARBCHZjyxWBG01ePiFkxbFbrAn+Vwx8PwQCgyxFBlO3J65jTciPqc5nqe9htdYqOdRT8astoDnpRYF8UMzKeEHp+NeNBz1JXywURdz16PY0ROmpGqW/mOTAQrgfrZ1+e2R2G/0L5o7WWkNNgjuHMUderGdql7HZKFGZvEa9onm0yJJcWKmScQ2gzTOnx0kAAAAUqxyXBE4mCgAAZ4G4xAAAOgblbOxxGf7AgAAAAAEWVo=' | base64 -d | xz -d > /opt/Makefile  echo 'LS0tIGFybWFkYS0zODUtbGlua3N5cy1yYW5nby5xdWlja2ZpeC5kdHMKKysrIGFybWFkYS0zODUtbGlua3N5cy1yYW5nby5xdWlja2ZpeC5kdHMKQEAgLTQ0OSwzICs0NDksMyBAQAogCQkJCWNsb2NrcyA9IDwweDcgMHgxMj47Ci0JCQkJc3RhdHVzID0gImRpc2FibGVkIjsKKwkJCQlzdGF0dXMgPSAib2theSI7CiAJCQl9Owo=' | base64 -d | patch  echo '/Td6WFoAAATm1rRGAgAhARYAAAB0L+Wj4AEbALRdABboBAwnI3dgRWFiL+fpXkccmYrR5fZRzcYTYtiJnUWKHfXP/agstDznYDRsP8nijODJuQHQCnB7C5Nb8VKU+iYFq8nhKe/QIZ+knJ4bmkm/pV1y2OCDu2AjMMjvytulWeHhdrklYeygg/MKmoob/sMQmvPGd+abTUbXrnPjeY7vYoL4AKqApvucLfcRKUVP2h4MihRvs8Fn4ovTIXxUT6MDtf6XB+z2nqIwbCrTZDAIqylKgAAy5fVFuSjnowAB0AGcAgAAMGsZGLHEZ/sCAAAAAARZWg==' | base64 -d | xz -d | patch 
regexpress/nodejs, base64 , do arg+=("$(echo -n "$var" | base64 -d)")
regexpress/cpp, base64 , do arg+=("$(echo -n "$var" | base64 -d)")
regexpress/hive, base64 , do arg+=("$(echo -n "$var" | base64 -d)")
